quanta_author,quanta_pub_date,quanta_title,arxiv_id,title,authors,original_submission_date,most_recent_update_date,primary_subject,secondary_subject,primary-MSC,secondary_MSC
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,1911.06314,Quantum Gravity in the Lab: Teleportation by Size and Traversable Wormholes,"['Walter, Michael', 'Leichenauer, Stefan', 'Nezami, Sepehr', 'Lin, Henry W.', 'Brown, Adam R.', 'Salton, Grant', 'Swingle, Brian', 'Susskind, Leonard', 'Gharibyan, Hrant']",2019/11/14,2021/02/01,['Quantum Physics (quant-ph)'],['High Energy Physics - Theory (hep-th)'],[],[]
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,1503.01409,A bound on chaos,"['Stanford, Douglas', 'Maldacena, Juan', 'Shenker, Stephen H.']",2015/03/04,2015/03/04,['High Energy Physics - Theory (hep-th)'],"['Statistical Mechanics (cond-mat.stat-mech)', 'Chaotic Dynamics (nlin.CD)', 'Quantum Physics (quant-ph)']",[],[]
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,2102.01064,"Quantum Gravity in the Lab: Teleportation by Size and Traversable Wormholes, Part II","['Walter, Michael', 'Leichenauer, Stefan', 'Nezami, Sepehr', 'Lin, Henry W.', 'Brown, Adam R.', 'Salton, Grant', 'Swingle, Brian', 'Susskind, Leonard', 'Gharibyan, Hrant']",2021/02/01,2021/02/01,['Quantum Physics (quant-ph)'],['High Energy Physics - Theory (hep-th)'],[],[]
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,2102.00010,Many-body quantum teleportation via operator spreading in the traversable wormhole protocol,"['Linke, Norbert M.', 'Schuster, Thomas', 'Lukin, Mikhail D.', 'Yoshida, Beni', 'Yao, Norman Y.', 'Gao, Ping', 'Cong, Iris', 'Khabiboulline, Emil T.', 'Monroe, Christopher', 'Kobrin, Bryce']",2021/01/29,2022/08/05,['Quantum Physics (quant-ph)'],"['Quantum Gases (cond-mat.quant-gas)', 'General Relativity and Quantum Cosmology (gr-qc)', 'High Energy Physics - Theory (hep-th)']",[],[]
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,2205.14081,Towards Quantum Gravity in the Lab on Quantum Processors,"['Shapoval, Illya', 'Su, Vincent Paul', 'de Jong, Wibe', 'Swingle, Brian', 'Urbanek, Miro']",2022/05/27,2022/05/27,['Quantum Physics (quant-ph)'],"['Emerging Technologies (cs.ET)', 'General Relativity and Quantum Cosmology (gr-qc)', 'High Energy Physics - Theory (hep-th)']",[],[]
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,2008.02303,A Sparse Model of Quantum Holography,"['Swingle, Brian', 'Xu, Shenglong', 'Su, Yuan', 'Susskind, Leonard']",2020/08/05,2020/08/05,['Strongly Correlated Electrons (cond-mat.str-el)'],"['High Energy Physics - Theory (hep-th)', 'Quantum Physics (quant-ph)']",[],[]
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,2302.07897,"Comment on ""Traversable wormhole dynamics on a quantum processor""","['Kobrin, Bryce', 'Schuster, Thomas', 'Yao, Norman Y.']",2023/02/15,2023/02/15,['Quantum Physics (quant-ph)'],"['Quantum Gases (cond-mat.quant-gas)', 'General Relativity and Quantum Cosmology (gr-qc)', 'High Energy Physics - Theory (hep-th)']",[],[]
['Stephen Ornes'],2023-03-16,The Unpredictable Abilities Emerging From Large AI Models,2001.08361,Scaling Laws for Neural Language Models,"['Gray, Scott', 'Kaplan, Jared', 'Chess, Benjamin', 'Child, Rewon', 'Amodei, Dario', 'Brown, Tom B.', 'McCandlish, Sam', 'Wu, Jeffrey', 'Henighan, Tom', 'Radford, Alec']",2020/01/23,2020/01/23,['Machine Learning (cs.LG)'],['Machine Learning (stat.ML)'],[],[]
['Stephen Ornes'],2023-03-16,The Unpredictable Abilities Emerging From Large AI Models,2110.08193,BBQ: A Hand-Built Bias Benchmark for Question Answering,"['Htut, Phu Mon', 'Parrish, Alicia', 'Padmakumar, Vishakh', 'Chen, Angelica', 'Phang, Jason', 'Thompson, Jana', 'Nangia, Nikita', 'Bowman, Samuel R.']",2021/10/15,2022/03/16,['Computation and Language (cs.CL)'],[],[],[]
['Stephen Ornes'],2023-03-16,The Unpredictable Abilities Emerging From Large AI Models,2302.07459,The Capacity for Moral Self-Correction in Large Language Models,"['Mercado, Noemi', 'Nguyen, Karina', 'Askell, Amanda', 'Mann, Ben', 'Olah, Christopher', 'Bai, Yuntao', 'Amodei, Dario', 'Liao, Thomas I.', 'Drain, Dawn', 'Kerr, Jamie', 'Mueller, Jared', 'Olsson, Catherine', 'Kadavath, Saurav', 'Henighan, Tom', 'Hatfield-Dodds, Zac', 'Li, Dustin', 'Hume, Tristan', 'Telleen-Lawton, Timothy', 'Johnston, Scott', 'Landau, Joshua', 'Lasenby, Robert', 'Kravec, Shauna', 'Hernandez, Danny', 'Kernion, Jackson', 'Showk, Sheer El', 'Elhage, Nelson', 'Schiefer, Nicholas', 'Ringer, Sam', 'Joseph, Nicholas', 'Goldie, Anna', 'Kundu, Sandipan', 'Ndousse, Kamal', 'Ganguli, Deep', 'Mirhoseini, Azalia', 'Clark, Jack', 'Brown, Tom', 'McCandlish, Sam', 'Chen, Anna', 'Lanham, Tamera', 'DasSarma, Nova', 'Sellitto, Michael', 'Rausch, Oliver', 'Lukošiūtė, Kamilė', 'Larson, Robin', 'Bowman, Samuel R.', 'Lovitt, Liane', 'Kaplan, Jared', 'Tran-Johnson, Eli', 'Perez, Ethan']",2023/02/15,2023/02/18,['Computation and Language (cs.CL)'],[],[],[]
